File format - 1
# of Tracks - 13
Ticks/quarter note - 96

Start of track 1at Byte 14
Track length: 344
0: Tempo to 262912 usec/quarter note
0: Time Signature event
385920: Tempo to 328205 usec/quarter note
447360: Tempo to 262912 usec/quarter note

Start of track 2at Byte 366
Track length: 20409
29270: On, C4
29893: Off, C4
33381: On, C4
34004: Off, C4
37492: On, A#3
41473: Off, A#3
41599: On, G#3
42218: Off, G#3
43782: On, G3
45840: Off, G3
45963: On, C4
46586: Off, C4
50074: On, C4
50697: Off, C4
54185: On, G#3
58164: Off, G#3
58288: On, G3
58906: Off, G3
60469: On, G3
60967: Off, G3
61210: On, G3
61708: Off, G3
61951: On, G3
62449: Off, G3
63172: On, G3
63379: Off, G3
65675: Off, C3
65675: On, C3
65795: Off, C3
65795: On, C3
65915: Off, C3
65915: On, C3
66035: Off, C3
66035: On, C3
66155: Off, C3
66155: On, C3
66275: Off, C3
66275: On, C3
66395: Off, C3
66395: On, C3
66515: Off, C3
66515: On, C3
66635: Off, C3
66635: On, C3
66755: Off, C3
66755: On, C3
66875: Off, C3
66875: On, C3
66995: Off, C3
66995: On, C3
67115: Off, C3
67115: On, C3
67235: Off, C3
67235: On, C3
67355: Off, C3
67355: On, C3
67475: Off, C3
67475: On, C3
67595: Off, C3
67595: On, C3
67715: Off, C3
67715: On, C3
67835: Off, C3
67835: On, C3
67955: Off, C3
67955: On, C3
68075: Off, C3
68075: On, C3
68195: Off, C3
68195: On, C3
68315: Off, C3
68315: On, C3
68435: Off, C3
68435: On, C3
68555: Off, C3
68555: On, C3
68675: Off, C3
68675: On, C3
68795: Off, C3
68795: On, C3
68915: Off, C3
68915: On, C3
69035: Off, C3
69035: On, C3
69155: Off, C3
69155: On, D#3
69362: Off, D#3
71654: Off, G#2
71654: On, G#2
71774: Off, G#2
71774: On, G#2
71894: Off, G#2
71894: On, G#2
72014: Off, G#2
72014: On, G#2
72134: Off, G#2
72134: On, G#2
72254: Off, G#2
72254: On, G#2
72374: Off, G#2
72374: On, G#2
72494: Off, G#2
72494: On, G#2
72614: Off, G#2
72614: On, G#2
72734: Off, G#2
72734: On, G#2
72854: Off, G#2
72854: On, G#2
72974: Off, G#2
72974: On, G#2
73094: Off, G#2
73094: On, G#2
73214: Off, G#2
73214: On, G#2
73334: Off, G#2
73334: On, G#2
73454: Off, G#2
73454: On, G#2
73574: Off, G#2
73574: On, G#2
73694: Off, G#2
73694: On, G#2
73814: Off, G#2
73814: On, G#2
73934: Off, G#2
73934: On, G#2
74054: Off, G#2
74054: On, G#2
74174: Off, G#2
74174: On, G#2
74294: Off, G#2
74294: On, G#2
74414: Off, G#2
74414: On, G#2
74534: Off, G#2
74534: On, G#2
74654: Off, G#2
74654: On, G#2
74774: Off, G#2
74774: On, G#2
74894: Off, G#2
74894: On, G#2
75014: Off, G#2
75014: On, G#2
75134: Off, G#2
75134: On, C3
75341: Off, C3
77630: Off, F2
77630: On, F2
77750: Off, F2
77750: On, F2
77870: Off, F2
77870: On, F2
77990: Off, F2
77990: On, F2
78110: Off, F2
78110: On, F2
78230: Off, F2
78230: On, F2
78350: Off, F2
78350: On, F2
78470: Off, F2
78470: On, F2
78590: Off, F2
78590: On, F2
78710: Off, F2
78710: On, F2
78830: Off, F2
78830: On, F2
78950: Off, F2
78950: On, F2
79070: Off, F2
79070: On, F2
79190: Off, F2
79190: On, F2
79310: Off, F2
79310: On, F2
79430: Off, F2
79430: On, F2
79550: Off, F2
79550: On, F2
79670: Off, F2
79670: On, F2
79790: Off, F2
79790: On, F2
79910: Off, F2
79910: On, F2
80030: Off, F2
80030: On, F2
80150: Off, F2
80150: On, F2
80270: Off, F2
80270: On, F2
80390: Off, F2
80390: On, F2
80510: Off, F2
80510: On, F2
80630: Off, F2
80630: On, F2
80750: Off, F2
80750: On, F2
80870: Off, F2
80870: On, F2
80990: Off, F2
80990: On, F2
81110: Off, F2
81110: On, D#3
81317: Off, D#3
83609: Off, G#2
83609: On, G#2
83729: Off, G#2
83729: On, G#2
83849: Off, G#2
83849: On, G#2
83969: Off, G#2
83969: On, G#2
84089: Off, G#2
84089: On, G#2
84209: Off, G#2
84209: On, G#2
84329: Off, G#2
84329: On, G#2
84449: Off, G#2
84449: On, G#2
84569: Off, G#2
84569: On, G#2
84689: Off, G#2
84689: On, G#2
84809: Off, G#2
84809: On, G#2
84929: Off, G#2
84929: On, G#2
85049: Off, G#2
85049: On, G#2
85169: Off, G#2
85169: On, G#2
85289: Off, G#2
85289: On, G#2
85409: Off, G#2
85409: On, G#2
85529: Off, G#2
85529: On, G#2
85649: Off, G#2
85649: On, G#2
85769: Off, G#2
85769: On, G#2
85889: Off, G#2
85889: On, G#2
86009: Off, G#2
86009: On, G#2
86129: Off, G#2
86129: On, G#2
86249: Off, G#2
86249: On, G#2
86369: Off, G#2
86369: On, G#2
86489: Off, G#2
86489: On, G#2
86609: Off, G#2
86609: On, G#2
86729: Off, G#2
86729: On, G#2
86849: Off, G#2
86849: On, G#2
86969: Off, G#2
86969: On, G#2
87089: Off, G#2
87089: On, G3
87296: Off, G3
89592: Off, C3
89592: On, C3
89712: Off, C3
89712: On, C3
89832: Off, C3
89832: On, C3
89952: Off, C3
89952: On, C3
90072: Off, C3
90072: On, C3
90192: Off, C3
90192: On, C3
90312: Off, C3
90312: On, C3
90432: Off, C3
90432: On, C3
90552: Off, C3
90552: On, C3
90672: Off, C3
90672: On, C3
90792: Off, C3
90792: On, C3
90912: Off, C3
90912: On, C3
91032: Off, C3
91032: On, C3
91152: Off, C3
91152: On, C3
91272: Off, C3
91272: On, C3
91392: Off, C3
91392: On, C3
91512: Off, C3
91512: On, C3
91632: Off, C3
91632: On, C3
91752: Off, C3
91752: On, C3
91872: Off, C3
91872: On, C3
91992: Off, C3
91992: On, C3
92112: Off, C3
92112: On, C3
92232: Off, C3
92232: On, C3
92352: Off, C3
92352: On, C3
92472: Off, C3
92472: On, C3
92592: Off, C3
92592: On, C3
92712: Off, C3
92712: On, C3
92832: Off, C3
92832: On, C3
92952: Off, C3
92952: On, C3
93072: Off, C3
93072: On, D#3
93279: Off, D#3
95571: Off, G#2
95571: On, G#2
95691: Off, G#2
95691: On, G#2
95811: Off, G#2
95811: On, G#2
95931: Off, G#2
95931: On, G#2
96051: Off, G#2
96051: On, G#2
96171: Off, G#2
96171: On, G#2
96291: Off, G#2
96291: On, G#2
96411: Off, G#2
96411: On, G#2
96531: Off, G#2
96531: On, G#2
96651: Off, G#2
96651: On, G#2
96771: Off, G#2
96771: On, G#2
96891: Off, G#2
96891: On, G#2
97011: Off, G#2
97011: On, G#2
97131: Off, G#2
97131: On, G#2
97251: Off, G#2
97251: On, G#2
97371: Off, G#2
97371: On, G#2
97491: Off, G#2
