File format - 1
# of Tracks - 8
Ticks/quarter note - 120

Start of track 1 at Byte 14
Track length: 82
0, Sequencer-specific event
0, Sequence/Track Name event
0, Instrument name event
0, MIDI Port
0, Tempo to 810810 usec/quarter note
0, Key signature event
0, Time Signature event
0,End of track

Start of track 2 at Byte 104
Track length: 30036
0, Sequence/Track Name event
0, Instrument name event
0, MIDI Port
0, Control change event, Channel: 1
0, Program change event, Channel: 1
0,On,F#3,1
0,On,B3,1
0,On,F#4,1
0,On,B4,1
0,On,D5,1
0,On,F#5,1
52,Off,F#3,1
52,Off,B3,1
52,Off,F#4,1
52,Off,B4,1
52,Off,D5,1
52,Off,F#5,1
104,On,F#3,1
104,On,C#4,1
104,On,F#4,1
104,On,A#4,1
104,On,C#5,1
104,On,F#5,1
155,Off,F#3,1
155,Off,C#4,1
155,Off,F#4,1
155,Off,A#4,1
155,Off,C#5,1
155,Off,F#5,1
208,On,E3,1
208,On,A3,1
208,On,E4,1
208,On,A4,1
208,On,C#5,1
208,On,E5,1
259,Off,E3,1
259,Off,A3,1
259,Off,E4,1
259,Off,A4,1
259,Off,C#5,1
259,Off,E5,1
259,On,A4,1
285,Off,A4,1
285,On,E4,1
311,Off,E4,1
311,On,E3,1
311,On,B3,1
311,On,E4,1
311,On,G#4,1
311,On,B4,1
311,On,E5,1
363,Off,E3,1
363,Off,B3,1
363,Off,E4,1
363,Off,G#4,1
363,Off,B4,1
363,Off,E5,1
415,On,G3,1
415,On,D4,1
415,On,G4,1
415,On,B4,1
415,On,D5,1
415,On,G5,1
467,Off,G3,1
467,Off,D4,1
467,Off,G4,1
467,Off,B4,1
467,Off,D5,1
467,Off,G5,1
480,On,G4,1
493,Off,G4,1
493,On,A4,1
506,Off,A4,1
506,On,D5,1
519,Off,D5,1
519,On,A3,1
519,On,D4,1
519,On,A4,1
519,On,D5,1
519,On,F#5,1
519,On,A5,1
571,Off,A3,1
571,Off,D4,1
571,Off,A4,1
571,Off,D5,1
571,Off,F#5,1
571,Off,A5,1
571,On,F#5,1
597,Off,F#5,1
597,On,D5,1
622,Off,D5,1
623,On,E3,1
623,On,B3,1
623,On,E4,1
623,On,G4,1
623,On,B4,1
623,On,E5,1
674,Off,E3,1
674,Off,B3,1
674,Off,E4,1
674,Off,G4,1
674,Off,B4,1
674,Off,E5,1
688,On,F#4,1
694,Off,F#4,1
694,On,G4,1
700,Off,G4,1
701,On,F#4,1
726,Off,F#4,1
726,On,F#3,1
726,On,C#4,1
726,On,F#4,1
726,On,A#4,1
726,On,C#5,1
726,On,F#5,1
778,Off,F#3,1
778,Off,C#4,1
778,Off,F#4,1
778,Off,A#4,1
778,Off,C#5,1
778,Off,F#5,1
830,On,D4,1
856,Off,D4,1
882,On,E4,1
908,Off,E4,1
908,On,F#4,1
934,Off,F#4,1
934,On,F#3,1
973,Off,F#3,1
973,On,D4,1
986,Off,D4,1
986,On,C#4,1
1038,Off,C#4,1
1038,On,C#4,1
1090,Off,C#4,1
1090,On,D4,1
1115,Off,D4,1
1116,On,E4,1
1141,Off,E4,1
1142,On,E3,1
1193,Off,E3,1
1194,On,E4,1
1245,Off,E4,1
1245,On,G4,1
1245,On,B4,1
1245,On,G3,1
1245,On,D4,1
1245,On,D5,1
1245,On,G5,1
1297,Off,G4,1
1297,Off,B4,1
1297,Off,G3,1
1297,Off,D4,1
1297,Off,D5,1
1297,Off,G5,1
1297,On,C#4,1
1323,Off,C#4,1
1323,On,D4,1
1349,Off,D4,1
1349,On,A3,1
1349,On,D4,1
1349,On,A4,1
1349,On,D5,1
1349,On,F#5,1
1349,On,A5,1
1401,Off,A3,1
1401,Off,D4,1
1401,Off,A4,1
