File format - 1
# of Tracks - 8
Ticks/quarter note - 192

Start of track 1 at Byte 14
Track length: 19
0, Time Signature event
0, Tempo to 789473 usec/quarter note
0,End of track

Start of track 2 at Byte 41
Track length: 9410
0, Sequence/Track Name event
0, Program change event, Channel: 1
0, Control change event, Channel: 1
101,On,C4,1
101,On,F4,1
101,On,A#4,1
101,On,D5,1
114,Off,C4,1
114,Off,F4,1
114,On,G4,1
114,Off,A#4,1
114,Off,D5,1
114,On,D#5,1
120,Off,G4,1
120,On,A#4,1
120,Off,D#5,1
120,On,D#5,1
120,On,G5,1
126,On,C4,1
126,On,G4,1
126,Off,A#4,1
126,On,A#4,1
126,Off,D#5,1
126,On,D#5,1
126,Off,G5,1
127,Off,C4,1
127,Off,G4,1
127,Off,A#4,1
127,Off,D#5,1
139,On,G3,1
139,On,D4,1
139,On,G4,1
139,On,B4,1
164,Off,G3,1
164,On,G3,1
164,Off,D4,1
164,Off,G4,1
164,Off,B4,1
177,Off,G3,1
177,On,D4,1
183,Off,D4,1
183,On,G4,1
189,Off,G4,1
189,On,B4,1
196,Off,B4,1
196,On,A#4,1
202,On,D4,1
202,On,G4,1
202,Off,A#4,1
208,Off,D4,1
208,On,D#4,1
208,Off,G4,1
208,On,G#4,1
215,Off,D#4,1
215,Off,G#4,1
215,On,G#4,1
215,On,C5,1
221,Off,G#4,1
221,Off,C5,1
221,On,C5,1
221,On,D#5,1
221,On,G#5,1
227,On,D#4,1
227,On,G#4,1
227,Off,C5,1
227,On,C5,1
227,Off,D#5,1
227,On,D#5,1
227,Off,G#5,1
228,Off,D#4,1
228,Off,G#4,1
228,Off,C5,1
228,Off,D#5,1
234,On,D#4,1
234,On,G#4,1
234,On,C5,1
234,On,D#5,1
234,Off,D#4,1
234,Off,G#4,1
234,Off,C5,1
234,Off,D#5,1
240,On,D#4,1
240,On,G4,1
240,On,A#4,1
240,On,D#5,1
265,On,D#3,1
265,Off,D#4,1
265,Off,G4,1
265,Off,A#4,1
265,Off,D#5,1
278,Off,D#3,1
278,On,F4,1
284,Off,F4,1
284,On,G4,1
291,Off,G4,1
291,On,A#4,1
291,On,D#5,1
303,On,C4,1
303,Off,A#4,1
303,On,F4,1
303,Off,D#5,1
303,On,A#4,1
303,On,D5,1
316,Off,C4,1
316,Off,F4,1
316,On,G4,1
316,Off,A#4,1
316,Off,D5,1
316,On,D#5,1
322,Off,G4,1
322,On,A#4,1
322,Off,D#5,1
322,On,D#5,1
322,On,G5,1
328,On,C4,1
328,On,G4,1
328,Off,A#4,1
328,On,A#4,1
328,Off,D#5,1
328,On,D#5,1
328,Off,G5,1
329,Off,C4,1
329,Off,G4,1
329,Off,A#4,1
329,Off,D#5,1
341,On,G3,1
341,On,D4,1
341,On,G4,1
341,On,B4,1
366,Off,G3,1
366,On,G3,1
366,Off,D4,1
366,Off,G4,1
366,Off,B4,1
379,Off,G3,1
379,On,D4,1
385,Off,D4,1
385,On,G4,1
392,Off,G4,1
392,On,B4,1
398,Off,B4,1
398,On,A#4,1
404,On,D4,1
404,On,G4,1
404,Off,A#4,1
411,Off,D4,1
411,On,D#4,1
411,Off,G4,1
411,On,G#4,1
417,Off,D#4,1
417,Off,G#4,1
417,On,G#4,1
417,On,C5,1
423,Off,G#4,1
423,Off,C5,1
423,On,C5,1
423,On,D#5,1
423,On,G#5,1
429,On,D#4,1
429,On,G#4,1
429,Off,C5,1
429,On,C5,1
429,Off,D#5,1
429,On,D#5,1
429,Off,G#5,1
430,Off,D#4,1
430,Off,G#4,1
430,Off,C5,1
430,Off,D#5,1
436,On,D#5,1
436,Off,D#5,1
436,On,D#5,1
442,On,D#4,1
442,On,G4,1
442,On,A#4,1
442,Off,D#5,1
442,On,D#5,1
505,On,C4,1
