File format - 1
# of Tracks - 2
Ticks/quarter note - 384

Start of track 1 at Byte 14
Track length: 19
0, Time Signature event
0, Tempo to 545454 usec/quarter note
0,End of track

Start of track 2 at Byte 41
Track length: 747
0, Sequence/Track Name event
0, Program change event, Channel: 1
0,On,E4,1
0,On,E4,1
0,On,E4,1
22,Off,E4,1
22,Off,E4,1
22,Off,E4,1
26,On,E4,1
26,On,E4,1
26,On,E4,1
35,Off,E4,1
35,Off,E4,1
35,On,G4,1
35,Off,E4,1
35,On,G4,1
35,On,G4,1
44,Off,G4,1
44,Off,G4,1
44,Off,G4,1
48,On,E4,1
48,On,E4,1
48,On,E4,1
57,Off,E4,1
57,Off,E4,1
57,Off,E4,1
61,On,D4,1
61,On,D4,1
61,On,D4,1
70,On,C4,1
70,Off,D4,1
70,On,C4,1
70,On,C4,1
70,Off,D4,1
70,Off,D4,1
105,Off,C4,1
105,Off,C4,1
105,On,B3,1
105,Off,C4,1
105,On,B3,1
105,On,B3,1
140,Off,B3,1
140,Off,B3,1
140,Off,B3,1
140,On,E4,1
161,Off,E4,1
166,On,E4,1
175,On,G4,1
175,Off,E4,1
183,Off,G4,1
188,On,E4,1
196,Off,E4,1
201,On,D4,1
209,Off,D4,1
209,On,C4,1
218,Off,C4,1
223,On,D4,1
231,Off,D4,1
236,On,C4,1
244,On,B3,1
244,Off,C4,1
279,On,E4,1
279,Off,B3,1
279,On,E4,1
279,On,E4,1
301,Off,E4,1
301,Off,E4,1
301,Off,E4,1
305,On,E4,1
305,On,E4,1
305,On,E4,1
314,On,G4,1
314,Off,E4,1
314,Off,E4,1
314,Off,E4,1
314,On,G4,1
314,On,G4,1
323,Off,G4,1
323,Off,G4,1
323,Off,G4,1
327,On,E4,1
327,On,E4,1
327,On,E4,1
336,Off,E4,1
336,Off,E4,1
336,Off,E4,1
340,On,D4,1
340,On,D4,1
340,On,D4,1
349,On,C4,1
349,On,C4,1
349,On,C4,1
349,Off,D4,1
349,Off,D4,1
349,Off,D4,1
384,Off,C4,1
384,Off,C4,1
384,Off,C4,1
384,On,B3,1
384,On,B3,1
384,On,B3,1
419,On,E4,1
419,Off,B3,1
419,Off,B3,1
419,Off,B3,1
441,Off,E4,1
445,On,E4,1
454,On,G4,1
454,Off,E4,1
463,Off,G4,1
467,On,E4,1
476,Off,E4,1
480,On,D4,1
489,On,C4,1
489,Off,D4,1
497,Off,C4,1
502,On,D4,1
511,Off,D4,1
515,On,C4,1
524,Off,C4,1
524,On,B3,1
559,On,G3,1
559,Off,B3,1
563,Off,G3,1
567,On,G3,1
572,Off,G3,1
576,On,G3,1
580,Off,G3,1
585,On,G3,1
589,Off,G3,1
593,On,G3,1
598,Off,G3,1
602,On,G3,1
607,Off,G3,1
611,On,G3,1
615,Off,G3,1
620,On,G3,1
624,Off,G3,1
628,On,A3,1
628,On,A3,1
628,On,E4,1
633,Off,A3,1
633,Off,E4,1
633,Off,A3,1
637,On,E4,1
637,On,A3,1
641,Off,E4,1
641,Off,A3,1
646,On,A3,1
646,On,E4,1
650,Off,A3,1
650,Off,E4,1
655,On,A3,1
655,On,E4,1
659,Off,A3,1
659,Off,E4,1
663,On,A3,1
663,On,E4,1
668,Off,E4,1
668,Off,A3,1
672,On,A3,1
672,On,E4,1
676,Off,A3,1
676,Off,E4,1
681,On,A3,1
681,On,E4,1
685,Off,A3,1
685,Off,E4,1
689,On,A3,1
689,On,E4,1
694,Off,A3,1
694,Off,E4,1
698,On,E4,1
768,Off,E4,1
768,End of track
