File format - 1
# of Tracks - 7
Ticks/quarter note - 480

Start of track 1 at Byte 14
Track length: 83
0, Tempo to 731707 usec/quarter note
0, Sequence/Track Name event
0, Time Signature event
4964, Time Signature event
5011, Time Signature event
6509, Time Signature event
6556, Time Signature event
6556,End of track

Start of track 2 at Byte 105
Track length: 13008
0, Sequence/Track Name event
0, Control change event, Channel: 1
0, Control change event, Channel: 1
0, Control change event, Channel: 1
0, Pitch wheel event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 2
0, Control change event, Channel: 2
0, Pitch wheel event, Channel: 2
0, Program change event, Channel: 1
0, Program change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
0, Control change event, Channel: 1
0, Control change event, Channel: 2
70,On,D4,1
70,On,A3,1
70,On,D3,1
71,Off,D4,1
71,Off,A3,1
71,Off,D3,1
76,On,D4,1
76,On,A3,1
76,On,D3,1
77,Off,D4,1
77,Off,A3,1
77,Off,D3,1
82,On,D4,1
82,On,A3,1
82,On,D3,1
83,Off,D4,1
83,Off,A3,1
83,Off,D3,1
88,On,D4,1
88,On,A3,1
88,On,D3,1
89,Off,D4,1
89,Off,A3,1
89,Off,D3,1
94,On,D4,1
94,On,A3,1
94,On,D3,1
100,Off,D4,1
100,Off,A3,1
100,Off,D3,1
100,On,D4,1
100,On,A3,1
100,On,D3,1
105,Off,D4,1
105,Off,A3,1
105,Off,D3,1
105,On,D4,1
105,On,A3,1
105,On,D3,1
111,Off,D4,1
111,Off,A3,1
111,Off,D3,1
111,On,D4,1
111,On,A3,1
111,On,D3,1
117,Off,D4,1
117,Off,A3,1
117,Off,D3,1
117,On,D4,1
117,On,A3,1
117,On,D3,1
123,Off,D4,1
123,Off,A3,1
123,Off,D3,1
123,On,D4,1
123,On,A3,1
123,On,D3,1
129,Off,D4,1
129,Off,A3,1
129,Off,D3,1
129,On,D4,1
129,On,A3,1
129,On,D3,1
135,Off,D4,1
135,Off,A3,1
135,Off,D3,1
135,On,D4,1
135,On,A3,1
135,On,D3,1
140,Off,D4,1
140,Off,A3,1
140,Off,D3,1
140,On,D4,1
140,On,A3,1
140,On,D3,1
146,Off,D4,1
146,Off,A3,1
146,Off,D3,1
146,On,D4,1
146,On,A3,1
146,On,D3,1
152,Off,D4,1
