File format - 1
# of Tracks - 2
Ticks/quarter note - 384

Start of track 1 at Byte 14
Track length: 19
0, Time Signature event
0, Tempo to 400000 usec/quarter note
0,End of track

Start of track 2 at Byte 41
Track length: 399
0, Sequence/Track Name event
0, Program change event, Channel: 1
0,On,E5,1
3,Off,E5,1
6,On,E5,1
10,Off,E5,1
19,On,E5,1
26,Off,E5,1
32,On,C5,1
38,On,E5,1
38,Off,C5,1
51,On,G5,1
51,Off,E5,1
77,On,G4,1
77,Off,G5,1
102,On,C5,1
102,Off,G4,1
122,On,G4,1
122,Off,C5,1
128,Off,G4,1
141,On,E4,1
160,On,A4,1
160,Off,E4,1
173,Off,A4,1
173,On,B4,1
186,On,A#4,1
186,Off,B4,1
192,On,A4,1
192,Off,A#4,1
205,On,G4,1
205,Off,A4,1
214,On,E5,1
214,Off,G4,1
224,Off,E5,1
224,On,G5,1
230,On,A5,1
230,Off,G5,1
243,On,F5,1
243,Off,A5,1
250,On,G5,1
250,Off,F5,1
256,Off,G5,1
262,On,E5,1
275,On,C5,1
275,Off,E5,1
282,On,D5,1
282,Off,C5,1
288,On,B4,1
288,Off,D5,1
301,Off,B4,1
307,On,C5,1
326,On,G4,1
326,Off,C5,1
333,Off,G4,1
346,On,E4,1
365,On,A4,1
365,Off,E4,1
378,On,B4,1
378,Off,A4,1
390,On,A#4,1
390,Off,B4,1
397,On,A4,1
397,Off,A#4,1
410,Off,A4,1
410,On,G4,1
419,On,E5,1
419,Off,G4,1
429,On,G5,1
429,Off,E5,1
435,On,A5,1
435,Off,G5,1
448,On,F5,1
448,Off,A5,1
454,Off,F5,1
454,On,G5,1
461,Off,G5,1
467,On,E5,1
480,On,C5,1
480,Off,E5,1
486,On,D5,1
486,Off,C5,1
493,On,B4,1
493,Off,D5,1
506,Off,B4,1
506,End of track
